dt;dt_iso;city_id;city_name;lat;lon;temp;temp_min;temp_max;pressure;sea_level;grnd_level;humidity;wind_speed;wind_deg;rain_1h;rain_3h;rain_24h;rain_today;snow_1h;snow_3h;snow_24h;snow_today;clouds_all;weather_id;weather_main;weather_description;weather_icon
1514764800;2018-01-01 00:00:00 +0000 UTC;2825297;;;;282.15;282.15;282.15;1006;;;70;2;220;;;;;;;;;75;803;Clouds;broken clouds;04n
1514768400;2018-01-01 01:00:00 +0000 UTC;2825297;;;;281.15;281.15;281.15;1007;;;87;3;270;;;;;;;;;75;500;Rain;light rain;10n
1514772000;2018-01-01 02:00:00 +0000 UTC;2825297;;;;281.15;281.15;281.15;1008;;;75;5;250;;;;;;;;;75;803;Clouds;broken clouds;04n
1514775600;2018-01-01 03:00:00 +0000 UTC;2825297;;;;281.15;281.15;281.15;1008;;;75;5;220;;;;;;;;;0;800;Clear;Sky is Clear;01n
1514779200;2018-01-01 04:00:00 +0000 UTC;2825297;;;;280.15;280.15;280.15;1008;;;81;5;220;;;;;;;;;0;800;Clear;Sky is Clear;01n
1514782800;2018-01-01 05:00:00 +0000 UTC;2825297;;;;280.15;280.15;280.15;1009;;;75;5;220;;;;;;;;;75;803;Clouds;broken clouds;04n
1514786400;2018-01-01 06:00:00 +0000 UTC;2825297;;;;280.15;280.15;280.15;1009;;;75;6;230;;;;;;;;;75;803;Clouds;broken clouds;04n
1514790000;2018-01-01 07:00:00 +0000 UTC;2825297;;;;279.15;279.15;279.15;1010;;;81;5;250;;;;;;;;;75;500;Rain;light rain;10n
1514793600;2018-01-01 08:00:00 +0000 UTC;2825297;;;;279.15;279.15;279.15;1010;;;81;6;240;;;;;;;;;40;500;Rain;light rain;10d
1514797200;2018-01-01 09:00:00 +0000 UTC;2825297;;;;279.15;279.15;279.15;1011;;;81;5;240;;;;;;;;;20;801;Clouds;few clouds;02d
1514800800;2018-01-01 10:00:00 +0000 UTC;2825297;;;;280.15;280.15;280.15;1011;;;70;5;230;;;;;;;;;20;801;Clouds;few clouds;02d
1514804400;2018-01-01 11:00:00 +0000 UTC;2825297;;;;281.15;281.15;281.15;1010;;;65;5;230;;;;;;;;;20;801;Clouds;few clouds;02d
1514808000;2018-01-01 12:00:00 +0000 UTC;2825297;;;;281.15;281.15;281.15;1009;;;61;6;210;;;;;;;;;20;801;Clouds;few clouds;02d
1514811600;2018-01-01 13:00:00 +0000 UTC;2825297;;;;281.15;281.15;281.15;1007;;;61;5;210;;;;;;;;;20;801;Clouds;few clouds;02d
1514815200;2018-01-01 14:00:00 +0000 UTC;2825297;;;;281.15;281.15;281.15;1005;;;85;5;210;;;;;;;;;20;801;Clouds;few clouds;02d
1514818800;2018-01-01 15:00:00 +0000 UTC;2825297;;;;281.15;281.15;281.15;1004;;;85;4;200;;;;;;;;;0;800;Clear;Sky is Clear;01d
1514822400;2018-01-01 16:00:00 +0000 UTC;2825297;;;;280.15;280.15;280.15;1003;;;85;4;170;;;;;;;;;0;800;Clear;Sky is Clear;01n
1514826000;2018-01-01 17:00:00 +0000 UTC;2825297;;;;279.15;279.15;279.15;1001;;;82;3;170;;;;;;;;;0;800;Clear;Sky is Clear;01n
1514829600;2018-01-01 18:00:00 +0000 UTC;2825297;;;;280.15;280.15;280.15;1001;;;56;5;200;;;;;;;;;0;800;Clear;Sky is Clear;01n
1514833200;2018-01-01 19:00:00 +0000 UTC;2825297;;;;280.15;280.15;280.15;1001;;;70;6;210;;;;;;;;;75;803;Clouds;broken clouds;04n
1514836800;2018-01-01 20:00:00 +0000 UTC;2825297;;;;279.15;279.15;279.15;1001;;;81;6;200;;;;;;;;;75;803;Clouds;broken clouds;04n
