dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1483228800,2017-01-01 00:00:00 +0000 UTC,2657896,,,,270.15,270.15,270.15,1029,,,100,1,0,,,,,,,,,75,701,Mist,mist,50n
1483232400,2017-01-01 01:00:00 +0000 UTC,2657896,,,,270.15,270.15,270.15,1029,,,92,2,250,,,,,,,,,75,701,Mist,mist,50n
1483236000,2017-01-01 02:00:00 +0000 UTC,2657896,,,,269.15,269.15,269.15,1028,,,100,2,180,,,,,,,,,90,701,Mist,mist,50n
1483239600,2017-01-01 03:00:00 +0000 UTC,2657896,,,,269.15,269.15,269.15,1027,,,100,3,220,,,,,,,,,90,701,Mist,mist,50n
1483243200,2017-01-01 04:00:00 +0000 UTC,2657896,,,,269.15,269.15,269.15,1026,,,100,2,220,,,,,,,,,75,701,Mist,mist,50n
1483246800,2017-01-01 05:00:00 +0000 UTC,2657896,,,,268.78,268.15,269.15,1026,,,100,2,220,,,,,,,,,90,701,Mist,mist,50n
1483246800,2017-01-01 05:00:00 +0000 UTC,2657896,,,,268.78,268.15,269.15,1026,,,100,2,220,,,,,,,,,90,741,Fog,fog,50n
1483250400,2017-01-01 06:00:00 +0000 UTC,2657896,,,,268.78,268.15,269.15,1025,,,100,2,170,,,,,,,,,75,701,Mist,mist,50n
1483254000,2017-01-01 07:00:00 +0000 UTC,2657896,,,,268.78,268.15,269.15,1025,,,92,2,180,,,,,,,,,90,701,Mist,mist,50n
1483257600,2017-01-01 08:00:00 +0000 UTC,2657896,,,,268.78,268.15,269.15,1025,,,92,1,180,,,,,,,,,90,701,Mist,mist,50d
1483261200,2017-01-01 09:00:00 +0000 UTC,2657896,,,,268.78,268.15,269.15,1024,,,92,0,0,,,,,,,,,90,701,Mist,mist,50d
1483264800,2017-01-01 10:00:00 +0000 UTC,2657896,,,,268.78,268.15,269.15,1024,,,92,1,210,,,,,,,,,75,701,Mist,mist,50d
1483268400,2017-01-01 11:00:00 +0000 UTC,2657896,,,,269.79,269.15,270.15,1024,,,86,2,220,,,,,,,,,75,701,Mist,mist,50d
1483272000,2017-01-01 12:00:00 +0000 UTC,2657896,,,,270.81,270.15,271.15,1022,,,86,2,180,,,,,,,,,75,701,Mist,mist,50d
1483275600,2017-01-01 13:00:00 +0000 UTC,2657896,,,,271.75,270.15,273.15,1022,,,89,2,180,,,,,,,,,20,701,Mist,mist,50d
1483279200,2017-01-01 14:00:00 +0000 UTC,2657896,,,,272.09,271.15,273.15,1021,,,89,2,210,,,,,,,,,0,701,Mist,mist,50d
1483282800,2017-01-01 15:00:00 +0000 UTC,2657896,,,,272.75,271.15,274.15,1021,,,69,2,190,,,,,,,,,0,701,Mist,mist,50d
1483286400,2017-01-01 16:00:00 +0000 UTC,2657896,,,,271.83,270.15,273.15,1020,,,80,2,190,,,,,,,,,20,701,Mist,mist,50d
1483290000,2017-01-01 17:00:00 +0000 UTC,2657896,,,,270.52,270.15,271.15,1021,,,92,2,140,,,,,,,,,20,701,Mist,mist,50n
1483290000,2017-01-01 17:00:00 +0000 UTC,2657896,,,,270.52,270.15,271.15,1021,,,92,2,140,,,,,,,,,20,741,Fog,fog,50n
1483293600,2017-01-01 18:00:00 +0000 UTC,2657896,,,,269.15,269.15,269.15,1021,,,92,2,140,,,,,,,,,40,741,Fog,fog,50n
1483293600,2017-01-01 18:00:00 +0000 UTC,2657896,,,,269.15,269.15,269.15,1021,,,92,2,140,,,,,,,,,40,701,Mist,mist,50n
1483297200,2017-01-01 19:00:00 +0000 UTC,2657896,,,,269.52,269.15,270.15,1021,,,92,1,211,,,,,,,,,20,701,Mist,mist,50n
1483297200,2017-01-01 19:00:00 +0000 UTC,2657896,,,,269.52,269.15,270.15,1021,,,92,1,211,,,,,,,,,20,741,Fog,fog,50n
1483300800,2017-01-01 20:00:00 +0000 UTC,2657896,,,,269.23,268.15,270.15,1021,,,100,1,170,,,,,,,,,20,701,Mist,mist,50n
1483300800,2017-01-01 20:00:00 +0000 UTC,2657896,,,,269.23,268.15,270.15,1021,,,100,1,170,,,,,,,,,20,741,Fog,fog,50n
1483304400,2017-01-01 21:00:00 +0000 UTC,2657896,,,,269.18,268.15,270.15,1022,,,92,2,140,,,,,,,,,75,741,Fog,fog,50n
1483304400,2017-01-01 21:00:00 +0000 UTC,2657896,,,,269.18,268.15,270.15,1022,,,92,2,140,,,,,,,,,75,701,Mist,mist,50n
1483308000,2017-01-01 22:00:00 +0000 UTC,2657896,,,,269.81,269.15,270.15,1022,,,92,2,160,,,,,,,,,75,741,Fog,fog,50n
1483308000,2017-01-01 22:00:00 +0000 UTC,2657896,,,,269.81,269.15,270.15,1022,,,92,2,160,,,,,,,,,75,701,Mist,mist,50n
1483311600,2017-01-01 23:00:00 +0000 UTC,2657896,,,,269.8,269.15,270.15,1022,,,92,2,150,,,,,,,,,75,701,Mist,mist,50n
1483311600,2017-01-01 23:00:00 +0000 UTC,2657896,,,,269.8,269.15,270.15,1022,,,92,2,150,,,,,,,,,75,741,Fog,fog,50n
1483315200,2017-01-02 00:00:00 +0000 UTC,2657896,,,,269.81,269.15,270.15,1022,,,100,3,160,,,,,,,,,75,701,Mist,mist,50n
1483315200,2017-01-02 00:00:00 +0000 UTC,2657896,,,,269.81,269.15,270.15,1022,,,100,3,160,,,,,,,,,75,741,Fog,fog,50n
1483318800,2017-01-02 01:00:00 +0000 UTC,2657896,,,,269.47,269.15,270.15,1022,,,100,3,170,,,,,,,,,75,701,Mist,mist,50n
1483318800,2017-01-02 01:00:00 +0000 UTC,2657896,,,,269.47,269.15,270.15,1022,,,100,3,170,,,,,,,,,75,741,Fog,fog,50n
1483322400,2017-01-02 02:00:00 +0000 UTC,2657896,,,,269.72,269.15,271.15,1021,,,92,2,180,,,,,,,,,75,701,Mist,mist,50n
1483322400,2017-01-02 02:00:00 +0000 UTC,2657896,,,,269.72,269.15,271.15,1021,,,92,2,180,,,,,,,,,75,741,Fog,fog,50n
1483326000,2017-01-02 03:00:00 +0000 UTC,2657896,,,,269.44,269.15,270.15,1021,,,100,2,160,,,,,,,,,75,701,Mist,mist,50n
1483326000,2017-01-02 03:00:00 +0000 UTC,2657896,,,,269.44,269.15,270.15,1021,,,100,2,160,,,,,,,,,75,741,Fog,fog,50n
1483329600,2017-01-02 04:00:00 +0000 UTC,2657896,,,,269.44,269.15,270.15,1021,,,92,2,150,,,,,,,,,75,701,Mist,mist,50n
1483329600,2017-01-02 04:00:00 +0000 UTC,2657896,,,,269.44,269.15,270.15,1021,,,92,2,150,,,,,,,,,75,741,Fog,fog,50n
1483333200,2017-01-02 05:00:00 +0000 UTC,2657896,,,,269.44,269.15,270.15,1020,,,100,2,160,,,,,,,,,75,701,Mist,mist,50n
1483333200,2017-01-02 05:00:00 +0000 UTC,2657896,,,,269.44,269.15,270.15,1020,,,100,2,160,,,,,,,,,75,741,Fog,fog,50n
1483336800,2017-01-02 06:00:00 +0000 UTC,2657896,,,,269.41,269.15,270.15,1021,,,100,3,140,,,,,,,,,75,701,Mist,mist,50n
1483336800,2017-01-02 06:00:00 +0000 UTC,2657896,,,,269.41,269.15,270.15,1021,,,100,3,140,,,,,,,,,75,741,Fog,fog,50n
1483340400,2017-01-02 07:00:00 +0000 UTC,2657896,,,,269.78,269.15,270.15,1021,,,100,3,140,,,,,,,,,75,701,Mist,mist,50n
1483340400,2017-01-02 07:00:00 +0000 UTC,2657896,,,,269.78,269.15,270.15,1021,,,100,3,140,,,,,,,,,75,741,Fog,fog,50n
1483344000,2017-01-02 08:00:00 +0000 UTC,2657896,,,,269.72,269.15,271.15,1022,,,92,3,160,,,,,,,,,75,701,Mist,mist,50d
1483347600,2017-01-02 09:00:00 +0000 UTC,2657896,,,,269.38,268.15,271.15,1022,,,92,3,150,,,,,,,,,75,701,Mist,mist,50d
1483347600,2017-01-02 09:00:00 +0000 UTC,2657896,,,,269.38,268.15,271.15,1022,,,92,3,150,,,,,,,,,75,741,Fog,fog,50d
1483351200,2017-01-02 10:00:00 +0000 UTC,2657896,,,,269.38,268.15,271.15,1022,,,92,3,160,,,,,,,,,75,701,Mist,mist,50d
1483354800,2017-01-02 11:00:00 +0000 UTC,2657896,,,,270.75,269.15,272.15,1022,,,86,3,180,,,,,,,,,75,701,Mist,mist,50d
1483358400,2017-01-02 12:00:00 +0000 UTC,2657896,,,,271.75,270.15,273.15,1022,,,86,3,260,,,,,,,,,75,803,Clouds,broken clouds,04d
1483362000,2017-01-02 13:00:00 +0000 UTC,2657896,,,,272.81,272.15,273.15,1022,,,86,3,220,,,,,,,,,75,803,Clouds,broken clouds,04d
1483365600,2017-01-02 14:00:00 +0000 UTC,2657896,,,,273.81,273.15,274.15,1021,,,86,2,190,,,,,,,,,75,803,Clouds,broken clouds,04d
1483369200,2017-01-02 15:00:00 +0000 UTC,2657896,,,,273.81,273.15,274.15,1021,,,86,2,230,,,,,,,,,75,803,Clouds,broken clouds,04d
1483372800,2017-01-02 16:00:00 +0000 UTC,2657896,,,,273.81,273.15,274.15,1021,,,86,2,270,,,,,,,,,75,803,Clouds,broken clouds,04d
1483376400,2017-01-02 17:00:00 +0000 UTC,2657896,,,,273.81,273.15,274.15,1022,,,86,2,310,,,,,,,,,75,600,Snow,light snow,13n
1483380000,2017-01-02 18:00:00 +0000 UTC,2657896,,,,273.52,273.15,274.15,1023,,,90,1,350,,,,,,,,,90,602,Snow,heavy snow,13n
1483383600,2017-01-02 19:00:00 +0000 UTC,2657896,,,,273.52,273.15,274.15,1023,,,90,0,210,,,,,,,,,75,601,Snow,snow,13n
1483387200,2017-01-02 20:00:00 +0000 UTC,2657896,,,,273.52,273.15,274.15,1024,,,91,1,0,,,,,,,,,75,620,Snow,light shower snow,13n
1483387200,2017-01-02 20:00:00 +0000 UTC,2657896,,,,273.52,273.15,274.15,1024,,,91,1,0,,,,,,,,,75,701,Mist,mist,50n
1483390800,2017-01-02 21:00:00 +0000 UTC,2657896,,,,273.15,273.15,273.15,1024,,,91,0,290,,,,,,,,,75,601,Snow,snow,13n
1483390800,2017-01-02 21:00:00 +0000 UTC,2657896,,,,273.15,273.15,273.15,1024,,,91,0,290,,,,,,,,,75,701,Mist,mist,50n
1483394400,2017-01-02 22:00:00 +0000 UTC,2657896,,,,273.15,273.15,273.15,1024,,,91,1,340,,,,,,,,,75,601,Snow,snow,13n
1483394400,2017-01-02 22:00:00 +0000 UTC,2657896,,,,273.15,273.15,273.15,1024,,,91,1,340,,,,,,,,,75,701,Mist,mist,50n
1483398000,2017-01-02 23:00:00 +0000 UTC,2657896,,,,272.52,272.15,273.15,1025,,,92,0,0,,,,,,,,,75,701,Mist,mist,50n
1483398000,2017-01-02 23:00:00 +0000 UTC,2657896,,,,272.52,272.15,273.15,1025,,,92,0,0,,,,,,,,,75,601,Snow,snow,13n
1483401600,2017-01-03 00:00:00 +0000 UTC,2657896,,,,272.23,271.15,273.15,1025,,,100,0,0,,,,,,,,,75,701,Mist,mist,50n
1483401600,2017-01-03 00:00:00 +0000 UTC,2657896,,,,272.23,271.15,273.15,1025,,,100,0,0,,,,,,,,,75,600,Snow,light snow,13n
1483405200,2017-01-03 01:00:00 +0000 UTC,2657896,,,,272.18,271.15,273.15,1025,,,92,0,0,,,,,,,,,75,701,Mist,mist,50n
1483408800,2017-01-03 02:00:00 +0000 UTC,2657896,,,,271.89,271.15,273.15,1025,,,92,1,320,,,,,,,,,75,701,Mist,mist,50n
1483412400,2017-01-03 03:00:00 +0000 UTC,2657896,,,,270.86,270.15,271.15,1026,,,100,1,320,,,,,,,,,75,741,Fog,fog,50n
1483412400,2017-01-03 03:00:00 +0000 UTC,2657896,,,,270.86,270.15,271.15,1026,,,100,1,320,,,,,,,,,75,701,Mist,mist,50n
1483416000,2017-01-03 04:00:00 +0000 UTC,2657896,,,,269.51,269.15,270.15,1026,,,92,1,270,,,,,,,,,75,741,Fog,fog,50n
1483419600,2017-01-03 05:00:00 +0000 UTC,2657896,,,,269.24,268.15,271.15,1026,,,92,1,280,,,,,,,,,75,741,Fog,fog,50n
1483419600,2017-01-03 05:00:00 +0000 UTC,2657896,,,,269.24,268.15,271.15,1026,,,92,1,280,,,,,,,,,75,701,Mist,mist,50n
1483423200,2017-01-03 06:00:00 +0000 UTC,2657896,,,,270.23,269.15,271.15,1026,,,92,1,280,,,,,,,,,75,701,Mist,mist,50n
1483426800,2017-01-03 07:00:00 +0000 UTC,2657896,,,,269.86,269.15,270.15,1027,,,92,0,310,,,,,,,,,75,701,Mist,mist,50n
1483430400,2017-01-03 08:00:00 +0000 UTC,2657896,,,,269.86,269.15,270.15,1027,,,92,1,0,,,,,,,,,90,741,Fog,fog,50d
1483430400,2017-01-03 08:00:00 +0000 UTC,2657896,,,,269.86,269.15,270.15,1027,,,92,1,0,,,,,,,,,90,701,Mist,mist,50d
1483434000,2017-01-03 09:00:00 +0000 UTC,2657896,,,,269.23,268.15,270.15,1027,,,100,1,280,,,,,,,,,90,741,Fog,fog,50d
