,dt_iso,pressure,humidity,wind_speed,wind_deg,node_id,P1,P2
0,2018-01-01 00:00:00 +0000 UTC,1010,70,4,190,574,8.780952380952382,7.145714285714284
1,2018-01-01 01:00:00 +0000 UTC,1010,91,1,260,574,8.61,6.448571428571429
2,2018-01-01 02:00:00 +0000 UTC,1011,87,4,280,574,3.0004761904761903,1.8604761904761908
3,2018-01-01 02:00:00 +0000 UTC,1011,87,4,280,574,0.6890476190476189,0.4223809523809524
4,2018-01-01 03:00:00 +0000 UTC,1012,75,7,250,574,1.1204761904761906,0.4533333333333334
5,2018-01-01 04:00:00 +0000 UTC,1014,81,6,240,574,1.2895238095238093,0.408095238095238
6,2018-01-01 05:00:00 +0000 UTC,1014,75,4,210,574,0.9499999999999998,0.31714285714285717
7,2018-01-01 06:00:00 +0000 UTC,1014,70,6,230,574,1.4785714285714286,0.4342857142857143
8,2018-01-01 07:00:00 +0000 UTC,1014,70,5,230,574,1.4880952380952384,0.4614285714285714
9,2018-01-01 08:00:00 +0000 UTC,1015,80,6,260,574,1.0514285714285714,0.37857142857142856
10,2018-01-01 09:00:00 +0000 UTC,1015,75,8,240,574,1.7704761904761905,0.6366666666666666
11,2018-01-01 10:00:00 +0000 UTC,1015,80,6,230,574,2.4671428571428575,0.8590476190476191
12,2018-01-01 11:00:00 +0000 UTC,1014,70,8,230,574,3.05,0.8519047619047619
13,2018-01-01 12:00:00 +0000 UTC,1013,65,6,240,574,2.693809523809524,0.7728571428571427
14,2018-01-01 13:00:00 +0000 UTC,1011,87,6,220,574,2.41,0.6761904761904761
15,2018-01-01 14:00:00 +0000 UTC,1009,80,5,210,574,1.9209523809523812,0.6533333333333333
16,2018-01-01 15:00:00 +0000 UTC,1007,80,3,230,574,2.4342857142857146,0.8061904761904761
17,2018-01-01 16:00:00 +0000 UTC,1006,80,3,230,574,2.5699999999999994,0.8614285714285715
18,2018-01-01 17:00:00 +0000 UTC,1005,86,3,200,574,2.951428571428571,0.8890476190476193
19,2018-01-01 18:00:00 +0000 UTC,1005,70,5,230,574,3.102857142857142,1.0476190476190474
